          VERSOR NORMAL         ,   AREA [m2]     ,          CP      
  0.000    0.000    1.000     0.025     0.055797725584
  0.000    0.000    1.000     0.025     0.055806850039
  0.000    0.000    1.000     0.025     0.055816255464
  0.000    0.000    1.000     0.025     0.055825931427
  0.000    0.000    1.000     0.025     0.055835844439
  0.000    0.000    1.000     0.025     0.055845933332
  0.000    0.000    1.000     0.025     0.055856116711
  0.000    0.000    1.000     0.025     0.055866290529
  0.000    0.000    1.000     0.025     0.055876315736
  0.000    0.000    1.000     0.025     0.055886018213
  0.000    0.000    1.000     0.025     0.055896148260
  0.000    0.000    1.000     0.025     0.055904213728
  0.000    0.000    1.000     0.025     0.055912279120
  0.000    0.000    1.000     0.025     0.055919152847
  0.000    0.000    1.000     0.025     0.055924545497
  0.000    0.000    1.000     0.025     0.055928095592
  0.000    0.000    1.000     0.025     0.055929356351
  0.000    0.000    1.000     0.025     0.055927792830
  0.000    0.000    1.000     0.025     0.055922767274
  0.000    0.000    1.000     0.025     0.055913512259
  0.000    0.000    1.000     0.025     0.055899113389
  0.000    0.000    1.000     0.025     0.055879429617
  0.000    0.000    1.000     0.025     0.055850975866
  0.000    0.000    1.000     0.025     0.055814550554
  0.000    0.000    1.000     0.025     0.055767523093
  0.000    0.000    1.000     0.025     0.055707872012
  0.000    0.000    1.000     0.025     0.055633167866
  0.000    0.000    1.000     0.025     0.055540486082
  0.000    0.000    1.000     0.025     0.055426310631
  0.000    0.000    1.000     0.025     0.055286400716
  0.000    0.000    1.000     0.025     0.055115611867
  0.000    0.000    1.000     0.025     0.054907681810
  0.000    0.000    1.000     0.025     0.054655851058
  0.000    0.000    1.000     0.025     0.054348580953
  0.000    0.000    1.000     0.025     0.053976396430
  0.000    0.000    1.000     0.025     0.053523887541
  0.000    0.000    1.000     0.025     0.052972740369
  0.000    0.000    1.000     0.025     0.052299609093
  0.000    0.000    1.000     0.025     0.051474437892
  0.000    0.000    1.000     0.025     0.050458150271
  0.000    0.000    1.000     0.025     0.049199439247
  0.000    0.000    1.000     0.025     0.047630387118
  0.000    0.000    1.000     0.025     0.045660711861
  0.000    0.000    1.000     0.025     0.043171597441
  0.000    0.000    1.000     0.025     0.040005867257
  0.000    0.000    1.000     0.025     0.035973085357
  0.000    0.000    1.000     0.025     0.030860040802
  0.000    0.000    1.000     0.025     0.024502857140
  0.000    0.000    1.000     0.025     0.018797465629
